Время,id отправителя,Имя,id получателя, Сообщение
00:06:48,Skl46U7xs-x,Роман,,Санкт-Петербург
00:06:49,SMex4nFt5We,Светлана,,Добрый день
00:06:50,SP7EvYXliZl,Анжелика от боли к 100км легко,,Привет в Самару из Питера
00:06:52,rle8eV3TtWx,Артем Артемов,,"Наро-Фоминск (Моск.обл). 
Офигенный директор... )))))"
00:06:53,rmgS3Omejbe,Julia,,Кипр )
00:06:54,BDe-didUcZl,Алисса,,Крым
00:06:56,B5zmGvXxsbx,Татьяна,,Москва
00:07:04,SBgX8w7lj-x,Эмилия,,Севастополь
00:07:09,rz4sbYQxi-l,Владимир,,Привет всем!!!
00:07:14,HYelX9Nhubg,Марина,,Новосибирск
00:07:19,SCggRMDnF-e,Жанна,,Добрый вечер! Беларусь!!!
00:07:24,SgxNFVQlsWl,Айгуль,,"Добрый вечер! Караганда, Казахстан."
00:07:25,Bbl5hIStFbx,Татьяна,,Будет повтор?
00:07:26,B4ew_FQlsbl,Сергей,,Есть что то для фотостудии ?
00:07:34,B1egUCLY2KZx,Светлана,,Привет из Беларуси
00:07:56,rUxtYz7goZe,Евгений,,А 3 часа сегодня будет или всего?
00:07:59,HVezGdQgjWg,Борис,,"Калининград, trevel digital в закрытом международном клубе"
00:08:25,r4lcDoeX9bx,Валечка,,Привет всем -всем
00:08:27,S5eQZPmxibe,Елена,,+++
00:08:28,SXgwv5z3uWl,Корж Ирина Федоровна,,🔥🔥🔥
00:08:29,ByxiW-w3Ybx,Сергей,,Огонь
00:08:32,HBlRrxwX_Zx,Оксана,,🔥🔥🔥🔥🔥
00:08:34,SExPqYQgoZl,Елена,,Огонь
00:08:35,S4lGSc7ytWx,Наталья Афанасьева,,+++++
00:08:37,SNe8tCLnt-l,Александр,,🔥🔥🔥
00:08:37,HblL047giWe,Жалгас,,+
00:08:38,Bbg3rrXgiZe,Ирина,,+
00:08:41,HIloReX1cZx,Галина,,🔥🔥🔥
00:08:50,rUxtYz7goZe,Евгений,,🔥
00:08:50,rUemTwQxo-g,Аркадий,,🔥🔥 🔥🔥 🔥🔥
00:08:58,Sfx6RWPhFWl,Александра,,🔥
00:09:49,B1egUCLY2KZx,Светлана,,+++
00:09:50,rqgRaHjStZx,НАФИСА,,🔥
00:09:57,rBx5m97eoWx,Любовь,,🔥🔥🔥🔥🔥🔥🔥🔥
00:10:01,rHeUKnexobe,Надежда,,🔥🔥 🔥
00:10:17,reeCaOyjcZe,Дмитрий,,Еле как зашёл всем здиасти
00:11:03,rHeUKnexobe,Надежда,,"Здрасти, Дмитрий-)"
00:11:05,Bugy_-w3t-e,Админ,,🔥🔥🔥
00:11:48,SP7EvYXliZl,Анжелика от боли к 100км легко,,"Дима, чем нейросотрудник отличается от нейро агента"
00:11:51,BJexcqP7gsbe,Александр Юдин,,Зарабатывать
00:11:52,Hhe6ZU6pKWl,Владимир,,себе
00:11:53,rUx72a4gtZe,Татьяна,,Пока не понимаю
00:11:54,Snxs797ljWl,weti07,,зарабатывать
00:11:55,BQxffyMsqbl,Владимир,,зарабатывать
00:11:56,HGeyMPmljZl,Болат,,заработать
00:11:58,B1egUCLY2KZx,Светлана,,Зарабатывать буду
00:12:01,BjghUgfx9Zl,Oksana,,Себе изарабатывать)
00:12:01,HJxEtcXlo-e,Сергей,,🔥🔥 🔥
00:12:02,rUemTwQxo-g,Аркадий,,зарабатывать!
00:12:03,Hhldu4jG9bx,Сергей,,себе и не только)
00:12:03,HfxQekZki-l,Александр,,1+1
00:12:04,rKgMdvmxobl,Ирина Владимировна,,Себя чтоб зарабатывать
00:12:05,SXgwv5z3uWl,Корж Ирина Федоровна,,ЗаРАбатывать
00:12:05,Hcl09SmlsWl,Константин,,себе
00:12:06,SGlwKvmxiZe,Владимир Бодунов,,зарабатывать
00:12:07,rQgQYv7giWl,Elena,,Зарабатывать
00:12:08,BRlfYP7xoZl,Сауле,,Зарабатывать
00:12:08,ByxXtoziF-e,Тамара,,Я в ИИ полный ноль.
00:12:09,HtxkiDQxoWe,Alex,,Для себя и зароботкп
00:12:10,HIloReX1cZx,Галина,,"зарабатывать хочу, но пока не знаю"
00:12:11,BfgDhL7gsZg,Венера,,себе и зарабатывать
00:12:12,SCggRMDnF-e,Жанна,,пока не понятно
00:12:14,rBx5m97eoWx,Любовь,,Зарабатывать
